TARGET,SK_ID_CURR,DAYS_BIRTH,DAYS_EMPLOYED,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,DAYS_EMPLOYED_PERC,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_CODE_REJECT_REASON_SCOFR_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,CC_CNT_DRAWINGS_CURRENT_MAX
1.0,100002.0,-9461.0,-637.0,2.0,2.0,0.0830369673913225,0.2629485927471776,0.1393757800997895,-1134.0,1.0,0.0,0.0673290349857309,-1437.0,-874.0,-499.875,1.0,0.0,0.0,1.0,0.0,3.0
0.0,100003.0,-16765.0,-1188.0,1.0,1.0,0.3112673113812225,0.6222457752555098,0.5334816299804352,-828.0,0.0,1.0,0.0708619147032508,-2586.0,-1400.75,-816.0,1.0,0.0,0.0,1.0,0.0,3.0
0.0,100004.0,-19046.0,-225.0,2.0,2.0,0.5061548086628039,0.5559120833904428,0.7295666907060153,-815.0,1.0,0.0,0.0118135041478525,-1326.0,-867.0,-532.0,1.0,0.0,0.0,1.0,0.0,3.0
0.0,100006.0,-19005.0,-3039.0,2.0,2.0,0.5061548086628039,0.6504416904014653,0.5334816299804352,-617.0,1.0,0.0,0.1599052880820836,-1827.0,-1050.571428571429,-481.8333333333333,0.5555555555555556,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0
0.0,100007.0,-19932.0,-3038.0,2.0,2.0,0.5061548086628039,0.3227382869704046,0.5334816299804352,-1106.0,1.0,0.0,0.1524182219546458,-1149.0,-1149.0,-783.0,1.0,0.0,0.0,1.0,0.1666666666666666,3.0
0.0,100008.0,-16941.0,-1588.0,2.0,2.0,0.5061548086628039,0.3542247319929012,0.6212263380626669,-2536.0,0.0,0.0,0.0937370875391063,-1097.0,-757.3333333333334,-611.0,0.8,0.0,0.0,1.0,0.0,3.0
0.0,100009.0,-13778.0,-3130.0,2.0,2.0,0.7747614130547695,0.7239998516953141,0.4920600938649263,-1562.0,0.0,1.0,0.2271737552620119,-2882.0,-1271.5,-851.6111111111111,1.0,0.0,0.0,1.0,0.0,3.0
0.0,100010.0,-18850.0,-449.0,3.0,3.0,0.5061548086628039,0.7142792864482229,0.5406544504453575,-1070.0,0.0,1.0,0.0238196286472148,-2741.0,-1939.5,-578.0,1.0,0.0,0.0,1.0,0.0,3.0
0.0,100011.0,-20099.0,-1648.0,2.0,2.0,0.5873340468730377,0.2057472880073281,0.7517237147741489,0.0,0.0,0.0,0.118732727990525,-2508.0,-1773.0,-1454.75,0.75,0.25,0.0,0.75,0.25,4.0
0.0,100012.0,-14469.0,-2019.0,2.0,2.0,0.5061548086628039,0.7466436294590924,0.5334816299804352,-1673.0,1.0,0.0,0.1395397055774414,-1827.0,-1050.571428571429,-481.8333333333333,0.75,0.0,0.0,1.0,0.0,3.0
0.0,100014.0,-10197.0,-679.0,2.0,2.0,0.3197601716755032,0.6518623334244781,0.363945238612397,-844.0,1.0,1.0,0.0665882122192801,-2308.0,-1095.375,-615.875,1.0,0.0,0.0,1.0,0.0,3.0
